Alert,Description,MITRE tactics,Severity,Alert Family,Alert Type ()
Possible exploitation of the mailserver detected,Analysis of host data on %{Compromised Host} detected an unusual execution under the mail server account,Exploitation,Medium,Alerts for Linux machines,(VM_MailserverExploitation )
Possible malicious web shell detected,Analysis of host data on %{Compromised Host} detected a possible web shell. Attackers will often upload a web shell to a machine they’ve compromised to gain persistence or for further exploitation.,-,Medium,Alerts for Linux machines,
Possible password change using crypt-method detected [seen multiple times],Analysis of host data on %{Compromised Host} detected password change using crypt method. Attackers can make this change to continue access and gaining persistence after compromise. This behavior was seen [x] times today on the following machines: [Machine names],-,Medium,Alerts for Linux machines,
Process associated with digital currency mining detected [seen multiple times],Analysis of host data on %{Compromised Host} detected the execution of a process normally associated with digital currency mining. This behavior was seen over 100 times today on the following machines: [Machine name],-,Medium,Alerts for Linux machines,
Process associated with digital currency mining detected,Host data analysis detected the execution of a process that is normally associated with digital currency mining.,Exploitation  Execution,Medium,Alerts for Linux machines,
Python encoded downloader detected [seen multiple times],Analysis of host data on %{Compromised Host} detected the execution of encoded Python that downloads and runs code from a remote location. This may be an indication of malicious activity. This behavior was seen [x] times today on the following machines: [Machine names],-,Low,Alerts for Linux machines,
Screenshot taken on host [seen multiple times],Analysis of host data on %{Compromised Host} detected the user of a screen capture tool. Attackers may use these tools to access private data. This behavior was seen [x] times today on the following machines: [Machine names],-,Low,Alerts for Linux machines,
Shellcode detected [seen multiple times],Analysis of host data on %{Compromised Host} detected shellcode being generated from the command line. This process could be legitimate activity  or an indication that one of your machines has been compromised. This behavior was seen [x] times today on the following machines: [Machine names],-,Medium,Alerts for Linux machines,
Successful SSH brute force attack,Analysis of host data has detected a successful brute force attack. The IP %{Attacker source IP} was seen making multiple login attempts. Successful logins were made from that IP with the following user(s): %{Accounts used to successfully sign in to host}. This means that the host may be compromised and controlled by a malicious actor.,Exploitation,High,Alerts for Linux machines,(VM_SshBruteForceSuccess)
Suspicious Account Creation Detected,Analysis of host data on %{Compromised Host} detected creation or use of a local account %{Suspicious account name} : this account name closely resembles a standard Windows account or group name ‘%{Similar To Account Name}’. This is potentially a rogue account created by an attacker  so named in order to avoid being noticed by a human administrator.,-,Medium,Alerts for Linux machines,
Suspicious failed execution of custom script extension in your virtual machine,Suspicious failure of a custom script extension was detected in your virtual machine by analyzing the Azure Resource Manager operations in your subscription.,Execution,Medium,Alerts for Linux machines,(VM_CustomScriptExtensionSuspiciousFailure)
Suspicious kernel module detected [seen multiple times],Analysis of host data on %{Compromised Host} detected a shared object file being loaded as a kernel module. This could be legitimate activity  or an indication that one of your machines has been compromised. This behavior was seen [x] times today on the following machines: [Machine names],-,Medium,Alerts for Linux machines,
Suspicious password access [seen multiple times],Analysis of host data has detected suspicious access to encrypted user passwords on %{Compromised Host}. This behavior was seen [x] times today on the following machines: [Machine names],-,Informational,Alerts for Linux machines,
Suspicious password access,Analysis of host data has detected suspicious access to encrypted user passwords on %{Compromised Host}.,-,Informational,Alerts for Linux machines,
Suspicious request to the Kubernetes Dashboard,Machine logs indicate that a suspicious request was made to the Kubernetes Dashboard. The request was sent from a Kubernetes node  possibly from one of the containers running in the node. Although this behavior can be intentional  it might indicate that the node is running a compromised container.,LateralMovement,Medium,Alerts for Linux machines,(VM_KubernetesDashboard)
Unusual config reset in your virtual machine,An unusual config reset was detected in your virtual machine by analyzing the Azure Resource Manager operations in your subscription.,Credential Access,Medium,Alerts for Linux machines,(VM_VMAccessUnusualConfigReset)
Unusual deletion of custom script extension in your virtual machine,Unusual deletion of a custom script extension was detected in your virtual machine by analyzing the Azure Resource Manager operations in your subscription.,Execution,Medium,Alerts for Linux machines,(VM_CustomScriptExtensionUnusualDeletion)
Unusual execution of custom script extension in your virtual machine,Unusual execution of a custom script extension was detected in your virtual machine by analyzing the Azure Resource Manager operations in your subscription.,Execution,Medium,Alerts for Linux machines,(VM_CustomScriptExtensionUnusualExecution)
Unusual user password reset in your virtual machine,An unusual user password reset was detected in your virtual machine by analyzing the Azure Resource Manager operations in your subscription.,Credential Access,Medium,Alerts for Linux machines,(VM_VMAccessUnusualPasswordReset)
Unusual user SSH key reset in your virtual machine,An unusual user SSH key reset was detected in your virtual machine by analyzing the Azure Resource Manager operations in your subscription.,Credential Access,Medium,Alerts for Linux machines,(VM_VMAccessUnusualSSHReset)
Suspicious installation of GPU extension in your virtual machine (Preview),Suspicious installation of a GPU extension was detected in your virtual machine by analyzing the Azure Resource Manager operations in your subscription. Attackers may use the GPU driver extension to install GPU drivers on your virtual machine via the Azure Resource Manager to perform cryptojacking.,Impact,Low,Alerts for Linux machines,(VM_GPUDriverExtensionUnusualExecution)
A logon from a malicious IP has been detected. [seen multiple times],A successful remote authentication for the account [account] and process [process] occurred  however the logon IP address (x.x.x.x) has previously been reported as malicious or highly unusual. A successful attack has probably occurred. Files with the .scr extensions are screen saver files and are normally reside and execute from the Windows system directory.,-,High,Alerts for Windows machines,
Addition of Guest account to Local Administrators group,Analysis of host data has detected the addition of the built-in Guest account to the Local Administrators group on %{Compromised Host}  which is strongly associated with attacker activity.,-,Medium,Alerts for Windows machines,
An event log was cleared,Machine logs indicate a suspicious event log clearing operation by user: ‘%{user name}’ in Machine: ‘%{CompromisedEntity}’. The %{log channel} log was cleared.,-,Informational,Alerts for Windows machines,
Antimalware Action Failed,Microsoft Antimalware has encountered an error when taking an action on malware or other potentially unwanted software.,-,Medium,Alerts for Windows machines,
Antimalware Action Taken,Microsoft Antimalware for Azure has taken an action to protect this machine from malware or other potentially unwanted software.,-,Medium,Alerts for Windows machines,
Antimalware broad files exclusion in your virtual machine,Files exclusion from antimalware extension with broad exclusion rule was detected in your virtual machine by analyzing the Azure Resource Manager operations in your subscription. Such exclusion practically disabling the Antimalware protection.,-,Medium,Alerts for Windows machines,(VM_AmBroadFilesExclusion)
Antimalware disabled and code execution in your virtual machine,Antimalware disabled at the same time as code execution on your virtual machine. This was detected by analyzing Azure Resource Manager operations in your subscription.,-,High,Alerts for Windows machines,(VM_AmDisablementAndCodeExecution)
Antimalware disabled in your virtual machine,Antimalware disabled in your virtual machine. This was detected by analyzing Azure Resource Manager operations in your subscription.,Defense Evasion,Medium,Alerts for Windows machines,(VM_AmDisablement)
Antimalware file exclusion and code execution in your virtual machine,File excluded from your antimalware scanner at the same time as code was executed via a custom script extension on your virtual machine. This was detected by analyzing Azure Resource Manager operations in your subscription.,Defense Evasion  Execution,High,Alerts for Windows machines,(VM_AmFileExclusionAndCodeExecution)
Antimalware file exclusion and code execution in your virtual machine,Temporary file exclusion from antimalware extension in parallel to execution of code via custom script extension was detected in your virtual machine by analyzing the Azure Resource Manager operations in your subscription.,Defense Evasion  Execution,High,Alerts for Windows machines,(VM_AmTempFileExclusionAndCodeExecution)
Antimalware file exclusion in your virtual machine,File excluded from your antimalware scanner on your virtual machine. This was detected by analyzing Azure Resource Manager operations in your subscription.,Defense Evasion,Medium,Alerts for Windows machines,(VM_AmTempFileExclusion)
Antimalware real-time protection was disabled in your virtual machine,Real-time protection disablement of the antimalware extension was detected in your virtual machine by analyzing the Azure Resource Manager operations in your subscription.,Defense Evasion,Medium,Alerts for Windows machines,(VM_AmRealtimeProtectionDisabled)
Antimalware real-time protection was disabled temporarily in your virtual machine,Real-time protection temporary disablement of the antimalware extension was detected in your virtual machine by analyzing the Azure Resource Manager operations in your subscription.,Defense Evasion,Medium,Alerts for Windows machines,(VM_AmTempRealtimeProtectionDisablement)
Antimalware real-time protection was disabled temporarily while code was executed in your virtual machine,Real-time protection temporary disablement of the antimalware extension in parallel to code execution via custom script extension was detected in your virtual machine by analyzing the Azure Resource Manager operations in your subscription.,-,High,Alerts for Windows machines,(VM_AmRealtimeProtectionDisablementAndCodeExec)
Antimalware scans blocked for files potentially related to malware campaigns on your virtual machine (Preview),An exclusion rule was detected in your virtual machine to prevent your antimalware extension scanning certain files that are suspected of being related to a malware campaign. The rule was detected by analyzing the Azure Resource Manager operations in your subscription. Attackers might exclude files from antimalware scans to prevent detection while running arbitrary code or infecting the machine with malware.,Defense Evasion,Medium,Alerts for Windows machines,(VM_AmMalwareCampaignRelatedExclusion)
Antimalware temporarily disabled in your virtual machine,Antimalware temporarily disabled in your virtual machine. This was detected by analyzing Azure Resource Manager operations in your subscription.,-,Medium,Alerts for Windows machines,(VM_AmTemporarilyDisablement)
Antimalware unusual file exclusion in your virtual machine,Unusual file exclusion from antimalware extension was detected in your virtual machine by analyzing the Azure Resource Manager operations in your subscription.,Defense Evasion,Medium,Alerts for Windows machines,(VM_UnusualAmFileExclusion)
Communication with suspicious domain identified by threat intelligence,Communication with suspicious domain was detected by analyzing DNS transactions from your resource and comparing against known malicious domains identified by threat intelligence feeds. Communication to malicious domains is frequently performed by attackers and could imply that your resource is compromised.,Initial Access  Persistence  Execution  Command And Control  Exploitation,Medium,Alerts for Windows machines,(AzureDNS_ThreatIntelSuspectDomain)
Custom script extension with suspicious command in your virtual machine,Custom script extension with suspicious command was detected in your virtual machine by analyzing the Azure Resource Manager operations in your subscription.,Execution,Medium,Alerts for Windows machines,(VM_CustomScriptExtensionSuspiciousCmd)
Custom script extension with suspicious entry-point in your virtual machine,Custom script extension with a suspicious entry-point was detected in your virtual machine by analyzing the Azure Resource Manager operations in your subscription. The entry-point refers to a suspicious GitHub repository.,Execution,Medium,Alerts for Windows machines,(VM_CustomScriptExtensionSuspiciousEntryPoint)
Custom script extension with suspicious payload in your virtual machine,Custom script extension with a payload from a suspicious GitHub repository was detected in your virtual machine by analyzing the Azure Resource Manager operations in your subscription.,Execution,Medium,Alerts for Windows machines,(VM_CustomScriptExtensionSuspiciousPayload)
Detected actions indicative of disabling and deleting IIS log files,Analysis of host data detected actions that show IIS log files being disabled and/or deleted.,-,Medium,Alerts for Windows machines,
Detected anomalous mix of upper and lower case characters in command-line,Analysis of host data on %{Compromised Host} detected a command line with anomalous mix of upper and lower case characters. This kind of pattern  while possibly benign  is also typical of attackers trying to hide from case-sensitive or hash-based rule matching when performing administrative tasks on a compromised host.,-,Medium,Alerts for Windows machines,
Detected change to a registry key that can be abused to bypass UAC,Analysis of host data on %{Compromised Host} detected that a registry key that can be abused to bypass UAC (User Account Control) was changed. This kind of configuration  while possibly benign  is also typical of attacker activity when trying to move from unprivileged (standard user) to privileged (for example administrator) access on a compromised host.,-,Medium,Alerts for Windows machines,
Detected decoding of an executable using built-in certutil.exe tool,Analysis of host data on %{Compromised Host} detected that certutil.exe  a built-in administrator utility  was being used to decode an executable instead of its mainstream purpose that relates to manipulating certificates and certificate data. Attackers are known to abuse functionality of legitimate administrator tools to perform malicious actions  for example using a tool such as certutil.exe to decode a malicious executable that will then be subsequently executed.,-,High,Alerts for Windows machines,
Detected enabling of the WDigest UseLogonCredential registry key,Analysis of host data detected a change in the registry key HKLM\SYSTEM\ CurrentControlSet\Control\SecurityProviders\WDigest\ “UseLogonCredential”. Specifically this key has been updated to allow logon credentials to be stored in clear text in LSA memory. Once enabled  an attacker can dump clear text passwords from LSA memory with credential harvesting tools such as Mimikatz.,-,Medium,Alerts for Windows machines,
Detected encoded executable in command line data,Analysis of host data on %{Compromised Host} detected a base-64 encoded executable. This has previously been associated with attackers attempting to construct executables on-the-fly through a sequence of commands  and attempting to evade intrusion detection systems by ensuring that no individual command would trigger an alert. This could be legitimate activity  or an indication of a compromised host.,-,High,Alerts for Windows machines,
Detected obfuscated command line,Attackers use increasingly complex obfuscation techniques to evade detections that run against the underlying data. Analysis of host data on %{Compromised Host} detected suspicious indicators of obfuscation on the commandline.,-,Informational,Alerts for Windows machines,
Detected Petya ransomware indicators,Analysis of host data on %{Compromised Host} detected indicators associated with Petya ransomware. See https://aka.ms/petya-blog for more information. Review the command line associated in this alert and escalate this alert to your security team.,-,High,Alerts for Windows machines,
Detected possible execution of keygen executable,Analysis of host data on %{Compromised Host} detected execution of a process whose name is indicative of a keygen tool; such tools are typically used to defeat software licensing mechanisms but their download is often bundled with other malicious software. Activity group GOLD has been known to make use of such keygens to covertly gain back door access to hosts that they compromise.,-,Medium,Alerts for Windows machines,
Detected possible execution of malware dropper,Analysis of host data on %{Compromised Host} detected a filename that has previously been associated with one of activity group GOLD’s methods of installing malware on a victim host.,-,High,Alerts for Windows machines,
Detected possible local reconnaissance activity,Analysis of host data on %{Compromised Host} detected a combination of systeminfo commands that has previously been associated with one of activity group GOLD’s methods of performing reconnaissance activity. While ‘systeminfo.exe’ is a legitimate Windows tool  executing it twice in succession in the way that has occurred here is rare.,-,,Alerts for Windows machines,
Detected potentially suspicious use of Telegram tool,Analysis of host data shows installation of Telegram  a free cloud-based instant messaging service that exists both for mobile and desktop system. Attackers are known to abuse this service to transfer malicious binaries to any other computer  phone  or tablet.,-,Medium,Alerts for Windows machines,
Detected suppression of legal notice displayed to users at logon,Analysis of host data on %{Compromised Host} detected changes to the registry key that controls whether a legal notice is displayed to users when they log on. Microsoft security analysis has determined that this is a common activity undertaken by attackers after having compromised a host.,-,Low,Alerts for Windows machines,
Detected suspicious combination of HTA and PowerShell,mshta.exe (Microsoft HTML Application Host) which is a signed Microsoft binary is being used by the attackers to launch malicious PowerShell commands. Attackers often resort to having an HTA file with inline VBScript. When a victim browses to the HTA file and chooses to run it  the PowerShell commands and scripts that it contains are executed. Analysis of host data on %{Compromised Host} detected mshta.exe launching PowerShell commands.,-,Medium,Alerts for Windows machines,
Detected suspicious commandline arguments,Analysis of host data on %{Compromised Host} detected suspicious commandline arguments that have been used in conjunction with a reverse shell used by activity group HYDROGEN.,-,High,Alerts for Windows machines,
Detected suspicious commandline used to start all executables in a directory,Analysis of host data has detected a suspicious process running on %{Compromised Host}. The commandline indicates an attempt to start all executables (*.exe) that may reside in a directory. This could be an indication of a compromised host.,-,Medium,Alerts for Windows machines,
Detected suspicious credentials in commandline,Analysis of host data on %{Compromised Host} detected a suspicious password being used to execute a file by activity group BORON. This activity group has been known to use this password to execute Pirpi malware on a victim host.,-,High,Alerts for Windows machines,
Detected suspicious document credentials,Analysis of host data on %{Compromised Host} detected a suspicious  common precomputed password hash used by malware being used to execute a file. Activity group HYDROGEN has been known to use this password to execute malware on a victim host.,-,High,Alerts for Windows machines,
Detected suspicious execution of VBScript.Encode command,Analysis of host data on %{Compromised Host} detected the execution of VBScript.Encode command. This encodes the scripts into unreadable text  making it more difficult for users to examine the code. Microsoft threat research shows that attackers often use encoded VBscript files as part of their attack to evade detection systems. This could be legitimate activity  or an indication of a compromised host.,-,Medium,Alerts for Windows machines,
Detected suspicious execution via rundll32.exe,Analysis of host data on %{Compromised Host} detected rundll32.exe being used to execute a process with an uncommon name  consistent with the process naming scheme previously seen used by activity group GOLD when installing their first stage implant on a compromised host.,-,High,Alerts for Windows machines,
Detected suspicious file cleanup commands,Analysis of host data on %{Compromised Host} detected a combination of systeminfo commands that has previously been associated with one of activity group GOLD’s methods of performing post-compromise self-cleanup activity. While ‘systeminfo.exe’ is a legitimate Windows tool  executing it twice in succession  followed by a delete command in the way that has occurred here is rare.,-,High,Alerts for Windows machines,
Detected suspicious file creation,Analysis of host data on %{Compromised Host} detected creation or execution of a process that has previously indicated post-compromise action taken on a victim host by activity group BARIUM. This activity group has been known to use this technique to download more malware to a compromised host after an attachment in a phishing doc has been opened.,-,High,Alerts for Windows machines,
Detected suspicious named pipe communications,Analysis of host data on %{Compromised Host} detected data being written to a local named pipe from a Windows console command. Named pipes are known to be a channel used by attackers to task and communicate with a malicious implant. This could be legitimate activity  or an indication of a compromised host.,-,High,Alerts for Windows machines,
Detected suspicious network activity,Analysis of network traffic from %{Compromised Host} detected suspicious network activity. Such traffic  while possibly benign  is typically used by an attacker to communicate with malicious servers for downloading of tools  command-and-control and exfiltration of data. Typical related attacker activity includes copying remote administration tools to a compromised host and exfiltrating user data from it.,-,Low,Alerts for Windows machines,
Detected suspicious new firewall rule,Analysis of host data detected a new firewall rule has been added via netsh.exe to allow traffic from an executable in a suspicious location.,-,Medium,Alerts for Windows machines,
Detected suspicious use of Cacls to lower the security state of the system,Attackers use myriad ways like brute force  spear phishing etc. to achieve initial compromise and get a foothold on the network. Once initial compromise is achieved they often take steps to lower the security settings of a system. Cacls—short for change access control list is Microsoft Windows native command-line utility often used for modifying the security permission on folders and files. A lot of time the binary is used by the attackers to lower the security settings of a system. This is done by giving Everyone full access to some of the system binaries like ftp.exe  net.exe  wscript.exe etc. Analysis of host data on %{Compromised Host} detected suspicious use of Cacls to lower the security of a system.,-,Medium,Alerts for Windows machines,
Detected suspicious use of FTP -s Switch,Analysis of process creation data from the %{Compromised Host} detected the use of the FTP “-s:filename” switch. This switch is used to specify an FTP script file for the client to run. Malware or malicious processes are known to use this FTP switch (-s:filename) to point to a script file  which is configured to connect to a remote FTP server and download more malicious binaries.,-,Medium,Alerts for Windows machines,
Detected suspicious use of Pcalua.exe to launch executable code,Analysis of host data on %{Compromised Host} detected the use of pcalua.exe to launch executable code. Pcalua.exe is component of the Microsoft Windows “Program Compatibility Assistant”  which detects compatibility issues during the installation or execution of a program. Attackers are known to abuse functionality of legitimate Windows system tools to perform malicious actions  for example using pcalua.exe with the -a switch to launch malicious executables either locally or from remote shares.,-,Medium,Alerts for Windows machines,
Detected the disabling of critical services,The analysis of host data on %{Compromised Host} detected execution of “net.exe stop” command being used to stop critical services like SharedAccess or the Windows Security app. The stopping of either of these services can be indication of a malicious behavior.,-,Medium,Alerts for Windows machines,
Digital currency mining related behavior detected,Analysis of host data on %{Compromised Host} detected the execution of a process or command normally associated with digital currency mining.,-,High,Alerts for Windows machines,
Dynamic PS script construction,Analysis of host data on %{Compromised Host} detected a PowerShell script being constructed dynamically. Attackers sometimes use this approach of progressively building up a script in order to evade IDS systems. This could be legitimate activity  or an indication that one of your machines has been compromised.,-,Medium,Alerts for Windows machines,
Executable found running from a suspicious location,Analysis of host data detected an executable file on %{Compromised Host} that is running from a location in common with known suspicious files. This executable could either be legitimate activity  or an indication of a compromised host.,-,High,Alerts for Windows machines,
Fileless attack behavior detected,The memory of the process specified contains behaviors commonly used by fileless attacks. Specific behaviors include:,Defense Evasion,Low,Alerts for Windows machines,(VM_FilelessAttackBehavior.Windows)
Fileless attack technique detected,The memory of the process specified below contains evidence of a fileless attack technique. Fileless attacks are used by attackers to execute code while evading detection by security software. Specific behaviors include:,Defense Evasion  Execution,High,Alerts for Windows machines,(VM_FilelessAttackTechnique.Windows)
Fileless attack toolkit detected,The memory of the process specified contains a fileless attack toolkit: [toolkit name]. Fileless attack toolkits use techniques that minimize or eliminate traces of malware on disk  and greatly reduce the chances of detection by disk-based malware scanning solutions. Specific behaviors include:,Defense Evasion  Execution,Medium,Alerts for Windows machines,(VM_FilelessAttackToolkit.Windows)
High risk software detected,Analysis of host data from %{Compromised Host} detected the usage of software that has been associated with the installation of malware in the past. A common technique utilized in the distribution of malicious software is to package it within otherwise benign tools such as the one seen in this alert. When you use these tools  the malware can be silently installed in the background.,-,Medium,Alerts for Windows machines,
Local Administrators group members were enumerated,Machine logs indicate a successful enumeration on group %{Enumerated Group Domain Name}%{Enumerated Group Name}. Specifically  %{Enumerating User Domain Name}%{Enumerating User Name} remotely enumerated the members of the %{Enumerated Group Domain Name}%{Enumerated Group Name} group. This activity could either be legitimate activity  or an indication that a machine in your organization has been compromised and used to reconnaissance %{vmname}.,-,Informational,Alerts for Windows machines,
Malicious firewall rule created by ZINC server implant [seen multiple times],A firewall rule was created using techniques that match a known actor  ZINC. The rule was possibly used to open a port on %{Compromised Host} to allow for Command & Control communications. This behavior was seen [x] times today on the following machines: [Machine names],-,High,Alerts for Windows machines,
Malicious SQL activity,Machine logs indicate that ‘%{process name}’ was executed by account: %{user name}. This activity is considered malicious.,-,High,Alerts for Windows machines,
Multiple Domain Accounts Queried,Analysis of host data has determined that an unusual number of distinct domain accounts are being queried within a short time period from %{Compromised Host}. This kind of activity could be legitimate  but can also be an indication of compromise.,-,Medium,Alerts for Windows machines,
Possible credential dumping detected [seen multiple times],Analysis of host data has detected use of native windows tool (for example  sqldumper.exe) being used in a way that allows to extract credentials from memory. Attackers often use these techniques to extract credentials that they then further use for lateral movement and privilege escalation. This behavior was seen [x] times today on the following machines: [Machine names],-,Medium,Alerts for Windows machines,
Potential attempt to bypass AppLocker detected,Analysis of host data on %{Compromised Host} detected a potential attempt to bypass AppLocker restrictions. AppLocker can be configured to implement a policy that limits what executables are allowed to run on a Windows system. The command-line pattern similar to that identified in this alert has been previously associated with attacker attempts to circumvent AppLocker policy by using trusted executables (allowed by AppLocker policy) to execute untrusted code. This could be legitimate activity  or an indication of a compromised host.,-,High,Alerts for Windows machines,
PsExec execution detected,Analysis of host data indicates that the process %{Process Name} was executed by PsExec utility. PsExec can be used for running processes remotely. This technique might be used for malicious purposes.,Lateral Movement  Execution,Informational,Alerts for Windows machines,(VM_RunByPsExec)
Ransomware indicators detected [seen multiple times],Analysis of host data indicates suspicious activity traditionally associated with lock-screen and encryption ransomware. Lock screen ransomware displays a full-screen message preventing interactive use of the host and access to its files. Encryption ransomware prevents access by encrypting data files. In both cases a ransom message is typically displayed  requesting payment in order to restore file access. This behavior was seen [x] times today on the following machines: [Machine names],-,High,Alerts for Windows machines,
Ransomware indicators detected,Analysis of host data indicates suspicious activity traditionally associated with lock-screen and encryption ransomware. Lock screen ransomware displays a full-screen message preventing interactive use of the host and access to its files. Encryption ransomware prevents access by encrypting data files. In both cases a ransom message is typically displayed  requesting payment in order to restore file access.,-,High,Alerts for Windows machines,
Rare SVCHOST service group executed,The system process SVCHOST was observed running a rare service group. Malware often uses SVCHOST to masquerade its malicious activity.,Defense Evasion  Execution,Informational,Alerts for Windows machines,(VM_SvcHostRunInRareServiceGroup)
Sticky keys attack detected,Analysis of host data indicates that an attacker may be subverting an accessibility binary (for example sticky keys  onscreen keyboard  narrator) in order to provide backdoor access to the host %{Compromised Host}.,-,Medium,Alerts for Windows machines,
Successful brute force attack,Several sign in attempts were detected from the same source. Some successfully authenticated to the host.,Exploitation,Medium/High,Alerts for Windows machines,(VM_LoginBruteForceSuccess)
Suspect integrity level indicative of RDP hijacking,Analysis of host data has detected the tscon.exe running with SYSTEM privileges - this can be indicative of an attacker abusing this binary in order to switch context to any other logged on user on this host; it’s a known attacker technique to compromise more user accounts and move laterally across a network.,-,Medium,Alerts for Windows machines,
Suspect service installation,Analysis of host data has detected the installation of tscon.exe as a service: this binary being started as a service potentially allows an attacker to trivially switch to any other logged on user on this host by hijacking RDP connections; it’s a known attacker technique to compromise more user accounts and move laterally across a network.,-,Medium,Alerts for Windows machines,
Suspected Kerberos Golden Ticket attack parameters observed,Analysis of host data detected commandline parameters consistent with a Kerberos Golden Ticket attack.,-,Medium,Alerts for Windows machines,
Suspicious Account Creation Detected,Analysis of host data on %{Compromised Host} detected creation or use of a local account %{Suspicious account name} : this account name closely resembles a standard Windows account or group name ‘%{Similar To Account Name}’. This is potentially a rogue account created by an attacker  so named in order to avoid being noticed by a human administrator.,-,Medium,Alerts for Windows machines,
Suspicious Activity Detected,Analysis of host data has detected a sequence of one or more processes running on %{machine name} that have historically been associated with malicious activity. While individual commands may appear benign the alert is scored based on an aggregation of these commands. This could either be legitimate activity  or an indication of a compromised host.,Execution,Medium,Alerts for Windows machines,(VM_SuspiciousActivity)
Suspicious authentication activity,Although none of them succeeded  some of them used accounts were recognized by the host. This resembles a dictionary attack  in which an attacker performs numerous authentication attempts using a dictionary of predefined account names and passwords in order to find valid credentials to access the host. This indicates that some of your host account names might exist in a well-known account name dictionary.,Probing,Medium,Alerts for Windows machines,(VM_LoginBruteForceValidUserFailed)
Suspicious code segment detected,Indicates that a code segment has been allocated by using non-standard methods  such as reflective injection and process hollowing. The alert provides more characteristics of the code segment that have been processed to provide context for the capabilities and behaviors of the reported code segment.,-,Medium,Alerts for Windows machines,
Suspicious double extension file executed,Analysis of host data indicates an execution of a process with a suspicious double extension. This extension may trick users into thinking files are safe to be opened and might indicate the presence of malware on the system.,-,High,Alerts for Windows machines,
Suspicious download using Certutil detected [seen multiple times],Analysis of host data on %{Compromised Host} detected the use of certutil.exe  a built-in administrator utility  for the download of a binary instead of its mainstream purpose that relates to manipulating certificates and certificate data. Attackers are known to abuse functionality of legitimate administrator tools to perform malicious actions  for example using certutil.exe to download and decode a malicious executable that will then be subsequently executed. This behavior was seen [x] times today on the following machines: [Machine names],-,Medium,Alerts for Windows machines,
Suspicious download using Certutil detected,Analysis of host data on %{Compromised Host} detected the use of certutil.exe  a built-in administrator utility  for the download of a binary instead of its mainstream purpose that relates to manipulating certificates and certificate data. Attackers are known to abuse functionality of legitimate administrator tools to perform malicious actions  for example using certutil.exe to download and decode a malicious executable that will then be subsequently executed.,-,Medium,Alerts for Windows machines,
Suspicious failed execution of custom script extension in your virtual machine,Suspicious failure of a custom script extension was detected in your virtual machine by analyzing the Azure Resource Manager operations in your subscription.,Execution,Medium,Alerts for Windows machines,(VM_CustomScriptExtensionSuspiciousFailure)
Suspicious PowerShell Activity Detected,Analysis of host data detected a PowerShell script running on %{Compromised Host} that has features in common with known suspicious scripts. This script could either be legitimate activity  or an indication of a compromised host.,-,High,Alerts for Windows machines,
Suspicious PowerShell cmdlets executed,Analysis of host data indicates execution of known malicious PowerShell PowerSploit cmdlets.,-,Medium,Alerts for Windows machines,
Suspicious process executed [seen multiple times],Machine logs indicate that the suspicious process: ‘%{Suspicious Process}’ was running on the machine  often associated with attacker attempts to access credentials. This behavior was seen [x] times today on the following machines: [Machine names],-,High,Alerts for Windows machines,
Suspicious process executed,Machine logs indicate that the suspicious process: ‘%{Suspicious Process}’ was running on the machine  often associated with attacker attempts to access credentials.,-,High,Alerts for Windows machines,
Suspicious process name detected [seen multiple times],Analysis of host data on %{Compromised Host} detected a process whose name is suspicious  for example corresponding to a known attacker tool or named in a way that is suggestive of attacker tools that try to hide in plain sight. This process could be legitimate activity  or an indication that one of your machines has been compromised. This behavior was seen [x] times today on the following machines: [Machine names],-,Medium,Alerts for Windows machines,
Suspicious process name detected,Analysis of host data on %{Compromised Host} detected a process whose name is suspicious  for example corresponding to a known attacker tool or named in a way that is suggestive of attacker tools that try to hide in plain sight. This process could be legitimate activity  or an indication that one of your machines has been compromised.,-,Medium,Alerts for Windows machines,
Suspicious process termination burst,Analysis of host data indicates a suspicious process termination burst in %{Machine Name}. Specifically  %{NumberOfCommands} processes were killed between %{Begin} and %{Ending}.,Defense Evasion,Low,Alerts for Windows machines,(VM_TaskkillBurst)
Suspicious SQL activity,Machine logs indicate that ‘%{process name}’ was executed by account: %{user name}. This activity is uncommon with this account.,-,Medium,Alerts for Windows machines,
Suspicious SVCHOST process executed,The system process SVCHOST was observed running in an abnormal context. Malware often uses SVCHOST to masquerade its malicious activity.,-,High,Alerts for Windows machines,
Suspicious system process executed,The system process %{process name} was observed running in an abnormal context. Malware often uses this process name to masquerade its malicious activity.,Defense Evasion  Execution,High,Alerts for Windows machines,(VM_SystemProcessInAbnormalContext)
Suspicious Volume Shadow Copy Activity,Analysis of host data has detected a shadow copy deletion activity on the resource. Volume Shadow Copy (VSC) is an important artifact that stores data snapshots. Some malware and specifically Ransomware  targets VSC to sabotage backup strategies.,-,High,Alerts for Windows machines,
Suspicious WindowPosition registry value detected,Analysis of host data on %{Compromised Host} detected an attempted WindowPosition registry configuration change that could be indicative of hiding application windows in nonvisible sections of the desktop. This could be legitimate activity  or an indication of a compromised machine: this type of activity has been previously associated with known adware (or unwanted software) such as Win32/OneSystemCare and Win32/SystemHealer and malware such as Win32/Creprote. When the WindowPosition value is set to 201329664  (Hex: 0x0c00 0c00  corresponding to X-axis=0c00 and the Y-axis=0c00) this places the console app’s window in a non-visible section of the user’s screen in an area that is hidden from view below the visible start menu/taskbar. Known suspect Hex value includes  but not limited to c000c000,-,Low,Alerts for Windows machines,
